Nb habitants,1 046 543,Classement
Age moyen,56 ans,Classement
Pop active,46.5%,Classement
Taux chômage,6.1%,Classement
Pop densité,168 h/km²,Classement
Revenu moyen,21 409 €/an,Classement
Agressions physiques / sexuelles,7 549
Cambriolages,1 147
Vols / dégradations,6 688
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Metz,118 489,42 km²,2 821 h/km²,46.8%,8.1%,20 010 €/an,NC,3.6
Thionville,40 778,50 km²,816 h/km²,48.8%,6.2%,23 210 €/an,NC,3.3
Forbach,21 597,16 km²,1 350 h/km²,38.9%,10.1%,16 900 €/an,NC,2.2
Montigny-lès-Metz,21 879,7 km²,3 126 h/km²,47%,7.1%,21 070 €/an,NC,3.5
Sarreguemines,20 635,30 km²,688 h/km²,45.3%,7.8%,19 540 €/an,NC,3.5
Yutz,17 143,14 km²,1 225 h/km²,48.6%,6.3%,23 060 €/an,NC,3.6
Saint-Avold,15 415,35 km²,440 h/km²,42.3%,7.5%,20 160 €/an,NC,4.0
Hayange,16 005,12 km²,1 334 h/km²,44.6%,7%,20 660 €/an,NC,2.5
Fameck,14 442,12 km²,1 204 h/km²,41.6%,6.9%,18 820 €/an,NC,3.3
Woippy,14 014,15 km²,934 h/km²,43%,10.2%,16 760 €/an,NC,2.2
Creutzwald,13 042,27 km²,483 h/km²,41.3%,7.7%,18 920 €/an,NC,-
Freyming-Merlebach,12 725,9 km²,1 414 h/km²,37.1%,8.2%,17 920 €/an,NC,3.4
Sarrebourg,12 449,16 km²,778 h/km²,42.4%,7.3%,19 020 €/an,NC,3.6
Stiring-Wendel,11 178,4 km²,2 795 h/km²,40.4%,8.7%,18 210 €/an,NC,3.2
Florange,11 972,13 km²,921 h/km²,46%,6.4%,20 320 €/an,NC,3.8
