Nb habitants,204 452,Classement
Age moyen,58 ans,Classement
Pop active,40%,Classement
Taux chômage,5.3%,Classement
Pop densité,30 h/km²,Classement
Revenu moyen,17 409 €/an,Classement
Agressions physiques / sexuelles,750
Cambriolages,282
Vols / dégradations,960
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Nevers,33 005,17 km²,1 941 h/km²,39.6%,8%,19 240 €/an,1 071 €/m²,3.3
Cosne-Cours-sur-Loire,9 589,53 km²,181 h/km²,37.5%,5.7%,20 300 €/an,1 142 €/m²,3.5
Varennes-Vauzelles,9 201,34 km²,271 h/km²,38.3%,4.5%,21 750 €/an,1 329 €/m²,3.6
Decize,5 233,48 km²,109 h/km²,37.7%,5.4%,20 220 €/an,1 083 €/m²,3.8
La Charité-sur-Loire,4 742,16 km²,296 h/km²,33.2%,4.9%,20 070 €/an,987 €/m²,3.3
Fourchambault,4 125,5 km²,825 h/km²,40%,7.5%,17 950 €/an,1 045 €/m²,3.9
Clamecy,3 590,30 km²,120 h/km²,35.3%,8.1%,17 930 €/an,910 €/m²,2.5
Garchizy,3 740,16 km²,234 h/km²,43.9%,5.2%,20 710 €/an,1 177 €/m²,4.0
Marzy,3 724,24 km²,155 h/km²,46.8%,2.7%,24 570 €/an,1 565 €/m²,3.7
Coulanges-lès-Nevers,3 724,11 km²,339 h/km²,40.4%,4.1%,22 740 €/an,1 311 €/m²,4.4
Imphy,3 202,17 km²,188 h/km²,36.2%,5.7%,19 660 €/an,938 €/m²,3.8
La Machine,3 240,18 km²,180 h/km²,32.6%,5.1%,18 930 €/an,812 €/m²,3.1
Guérigny,2 510,7 km²,359 h/km²,42.7%,5.3%,20 460 €/an,1 109 €/m²,3.7
Pougues-les-Eaux,2 355,13 km²,181 h/km²,45.8%,3.5%,23 230 €/an,1 184 €/m²,-
Saint-Éloi,2 221,16 km²,139 h/km²,46.2%,2.7%,24 170 €/an,1 529 €/m²,3.0
