Nb habitants,2 608 346,Classement
Age moyen,56 ans,Classement
Pop active,45.1%,Classement
Taux chômage,7.7%,Classement
Pop densité,455 h/km²,Classement
Revenu moyen,21 944 €/an,Classement
Agressions physiques / sexuelles,32 372
Cambriolages,7 796
Vols / dégradations,43 034
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Lille,234 475,35 km²,6 699 h/km²,49.5%,9.3%,19 580 €/an,3 132 €/m²,3.5
Tourcoing,98 656,15 km²,6 577 h/km²,45.4%,10%,17 400 €/an,1 654 €/m²,3.2
Roubaix,98 828,13 km²,7 602 h/km²,37.6%,11.7%,14 090 €/an,1 489 €/m²,2.8
Dunkerque,86 279,44 km²,1 961 h/km²,43.8%,9.5%,19 340 €/an,1 737 €/m²,3.4
Villeneuve-d'Ascq,61 957,27 km²,2 295 h/km²,44.8%,8%,21 110 €/an,2 730 €/m²,3.5
Valenciennes,43 229,14 km²,3 088 h/km²,44%,9.5%,19 270 €/an,1 658 €/m²,2.8
Wattrelos,40 898,13 km²,3 146 h/km²,46.3%,8.7%,18 650 €/an,1 742 €/m²,3.3
Douai,39 613,17 km²,2 330 h/km²,41.4%,9.7%,17 740 €/an,1 463 €/m²,3.3
Marcq-en-Baroeul,38 486,14 km²,2 749 h/km²,47%,4.9%,27 760 €/an,3 322 €/m²,4.0
Cambrai,32 176,18 km²,1 788 h/km²,44.2%,10.4%,18 750 €/an,1 323 €/m²,3.8
Maubeuge,29 589,19 km²,1 557 h/km²,39.2%,13.1%,15 670 €/an,1 063 €/m²,3.0
Lambersart,27 400,6 km²,4 567 h/km²,46.8%,4.8%,26 560 €/an,2 948 €/m²,3.7
Armentières,24 909,6 km²,4 152 h/km²,44.7%,8.2%,18 060 €/an,1 669 €/m²,3.2
Grande-Synthe,22 522,21 km²,1 072 h/km²,35.8%,10.1%,15 930 €/an,1 345 €/m²,2.9
Hazebrouck,21 408,26 km²,823 h/km²,44.7%,6.3%,20 180 €/an,1 853 €/m²,3.6
