Nb habitants,279 942,Classement
Age moyen,58 ans,Classement
Pop active,42.3%,Classement
Taux chômage,5.4%,Classement
Pop densité,46 h/km²,Classement
Revenu moyen,18 299 €/an,Classement
Agressions physiques / sexuelles,1 415
Cambriolages,176
Vols / dégradations,1 110
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Alençon,25 870,11 km²,2 352 h/km²,40.2%,8.4%,18 430 €/an,1 284 €/m²,3.3
Flers,14 762,21 km²,703 h/km²,39.9%,8.4%,17 980 €/an,954 €/m²,2.1
Argentan,13 395,18 km²,744 h/km²,38.7%,8%,18 390 €/an,1 267 €/m²,3.8
L'Aigle,7 961,18 km²,442 h/km²,39.5%,9.2%,18 060 €/an,1 322 €/m²,3.5
La Ferté Macé,5 186,32 km²,162 h/km²,39.8%,6.9%,19 340 €/an,951 €/m²,-
Tinchebray-Bocage,4 882,91 km²,54 h/km²,41.3%,4.6%,19 540 €/an,806 €/m²,3.4
Domfront en Poiraie,4 196,65 km²,65 h/km²,39.5%,3.5%,20 340 €/an,1 152 €/m²,4.8
Athis-Val de Rouvre,4 217,77 km²,55 h/km²,43.9%,3.7%,21 550 €/an,1 117 €/m²,3.8
Sées,4 198,40 km²,105 h/km²,40.6%,6.4%,19 230 €/an,1 067 €/m²,-
Mortagne-au-Perche,3 775,9 km²,419 h/km²,38.3%,7.4%,20 020 €/an,1 254 €/m²,4.2
Saint-Germain-du-Corbéis,3 780,8 km²,473 h/km²,38.2%,4.8%,22 190 €/an,1 416 €/m²,3.8
Gouffern en Auge,3 700,166 km²,22 h/km²,43.1%,3.1%,21 080 €/an,1 006 €/m²,2.1
Val-au-Perche,3 432,63 km²,54 h/km²,45.6%,5.1%,21 020 €/an,1 111 €/m²,3.9
Vimoutiers,3 116,16 km²,195 h/km²,34.8%,7.7%,18 370 €/an,848 €/m²,2.1
Saint-Georges-des-Groseillers,3 152,7 km²,450 h/km²,40.8%,4.2%,21 770 €/an,1 184 €/m²,-
