Nb habitants,662 152,Classement
Age moyen,56 ans,Classement
Pop active,45.6%,Classement
Taux chômage,5.5%,Classement
Pop densité,83 h/km²,Classement
Revenu moyen,20 114 €/an,Classement
Agressions physiques / sexuelles,3 356
Cambriolages,1 506
Vols / dégradations,5 772
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Clermont-Ferrand,147 865,43 km²,3 439 h/km²,45.9%,8.2%,19 720 €/an,1 919 €/m²,3.3
Cournon-d'Auvergne,20 322,19 km²,1 070 h/km²,43.1%,5%,22 830 €/an,2 119 €/m²,4.1
Riom,19 004,32 km²,594 h/km²,44.2%,6.1%,22 160 €/an,1 868 €/m²,3.6
Chamalières,17 276,4 km²,4 319 h/km²,45.4%,4.2%,26 750 €/an,2 191 €/m²,3.8
Issoire,15 296,20 km²,765 h/km²,45.9%,6.9%,20 830 €/an,1 785 €/m²,3.9
Thiers,11 784,44 km²,268 h/km²,41.6%,8.7%,18 640 €/an,898 €/m²,2.9
Beaumont,10 664,4 km²,2 666 h/km²,47.4%,5.1%,24 990 €/an,2 052 €/m²,3.5
Pont-du-Château,12 182,22 km²,554 h/km²,47.7%,4.6%,22 720 €/an,1 913 €/m²,2.9
Gerzat,10 289,16 km²,643 h/km²,46.8%,6.1%,21 150 €/an,1 886 €/m²,3.6
Aubière,10 904,8 km²,1 363 h/km²,41.6%,5.8%,23 650 €/an,2 344 €/m²,4.3
Lempdes,8 677,12 km²,723 h/km²,44.9%,4.6%,22 450 €/an,2 012 €/m²,4.5
Cébazat,8 805,10 km²,881 h/km²,40.6%,5.3%,23 050 €/an,2 017 €/m²,3.9
Romagnat,7 791,17 km²,458 h/km²,43.7%,3.9%,24 540 €/an,2 282 €/m²,4.2
Ambert,6 655,60 km²,111 h/km²,42.3%,4.4%,21 220 €/an,1 111 €/m²,4.1
Ceyrat,6 364,9 km²,707 h/km²,43.5%,3.1%,27 580 €/an,2 558 €/m²,3.3
