Nb habitants,682 621,Classement
Age moyen,57 ans,Classement
Pop active,45.3%,Classement
Taux chômage,5.3%,Classement
Pop densité,89 h/km²,Classement
Revenu moyen,19 721 €/an,Classement
Agressions physiques / sexuelles,3 838
Cambriolages,951
Vols / dégradations,5 132
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Pau,75 627,32 km²,2 363 h/km²,43.9%,8.1%,20 180 €/an,1 729 €/m²,3.7
Bayonne,51 894,22 km²,2 359 h/km²,47.2%,6.1%,20 300 €/an,3 295 €/m²,3.6
Anglet,39 719,27 km²,1 471 h/km²,44.1%,5.7%,23 740 €/an,4 477 €/m²,3.9
Biarritz,25 787,12 km²,2 149 h/km²,38.4%,5.5%,23 820 €/an,5 870 €/m²,3.6
Hendaye,16 967,8 km²,2 121 h/km²,46.6%,6.6%,21 070 €/an,3 558 €/m²,3.7
Saint-Jean-de-Luz,14 196,19 km²,747 h/km²,39.5%,6.5%,22 260 €/an,5 220 €/m²,3.5
Billère,12 793,5 km²,2 559 h/km²,46.4%,6.6%,20 560 €/an,1 754 €/m²,4.2
Lons,13 707,12 km²,1 142 h/km²,46%,5%,23 230 €/an,2 031 €/m²,4.8
Oloron-Sainte-Marie,10 594,68 km²,156 h/km²,43.9%,7.4%,20 520 €/an,1 285 €/m²,4.0
Orthez,10 369,46 km²,225 h/km²,41.5%,6.5%,21 020 €/an,1 282 €/m²,2.9
Lescar,9 665,27 km²,358 h/km²,47.9%,4.5%,25 670 €/an,2 226 €/m²,4.2
Urrugne,10 418,51 km²,204 h/km²,47.5%,5.3%,22 720 €/an,3 622 €/m²,-
Boucau,8 627,6 km²,1 438 h/km²,47.3%,5.8%,21 540 €/an,3 223 €/m²,4.0
Jurançon,7 102,19 km²,374 h/km²,43.3%,6.5%,21 490 €/an,1 770 €/m²,2.4
Ustaritz,6 918,33 km²,210 h/km²,49.7%,4.3%,22 610 €/an,3 105 €/m²,2.7
