Nb habitants,479 979,Classement
Age moyen,58 ans,Classement
Pop active,40.3%,Classement
Taux chômage,7.7%,Classement
Pop densité,117 h/km²,Classement
Revenu moyen,15 452 €/an,Classement
Agressions physiques / sexuelles,4 736
Cambriolages,1 204
Vols / dégradations,7 272
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Perpignan,119 344,68 km²,1 755 h/km²,36.9%,9.1%,16 730 €/an,1 487 €/m²,3.1
Canet-en-Roussillon,12 284,22 km²,558 h/km²,34.9%,7.9%,21 270 €/an,2 972 €/m²,3.2
Saint-Estève,11 719,12 km²,977 h/km²,41%,6.2%,21 020 €/an,1 893 €/m²,3.9
Saint-Cyprien,11 040,16 km²,690 h/km²,35.2%,8.8%,21 220 €/an,3 318 €/m²,4.0
Argelès-sur-Mer,10 260,59 km²,174 h/km²,35.1%,7.8%,20 540 €/an,3 006 €/m²,2.9
Saint-Laurent-de-la-Salanque,10 071,12 km²,839 h/km²,37.7%,7.6%,20 100 €/an,2 411 €/m²,4.0
Cabestany,10 301,10 km²,1 030 h/km²,40.1%,6%,22 290 €/an,2 524 €/m²,3.5
Pia,9 849,13 km²,758 h/km²,43.1%,8.1%,18 740 €/an,1 957 €/m²,2.8
Rivesaltes,8 888,29 km²,306 h/km²,42.5%,7.2%,19 010 €/an,1 727 €/m²,3.3
Elne,9 248,21 km²,440 h/km²,43.3%,8.7%,18 210 €/an,1 791 €/m²,3.2
Céret,7 857,38 km²,207 h/km²,37.9%,7.4%,20 550 €/an,2 572 €/m²,4.0
Le Soler,7 752,10 km²,775 h/km²,44.8%,6.9%,19 880 €/an,2 040 €/m²,3.9
Thuir,7 924,20 km²,396 h/km²,41.5%,6.6%,20 110 €/an,2 249 €/m²,3.8
Bompas,7 426,6 km²,1 238 h/km²,40.4%,6.6%,20 560 €/an,2 195 €/m²,4.2
Toulouges,7 192,8 km²,899 h/km²,46.6%,7%,21 190 €/an,1 896 €/m²,3.4
