Nb habitants,1 875 747,Classement
Age moyen,55 ans,Classement
Pop active,47.7%,Classement
Taux chômage,5.8%,Classement
Pop densité,577 h/km²,Classement
Revenu moyen,24 636 €/an,Classement
Agressions physiques / sexuelles,20 269
Cambriolages,7 817
Vols / dégradations,60 936
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Lyon,522 969,48 km²,10 895 h/km²,51.3%,6.5%,24 150 €/an,4 525 €/m²,3.6
Villeurbanne,152 212,15 km²,10 147 h/km²,49.1%,7.4%,20 610 €/an,3 393 €/m²,3.3
Vénissieux,67 285,15 km²,4 486 h/km²,41.2%,9.6%,16 360 €/an,2 447 €/m²,2.6
Vaulx-en-Velin,52 795,21 km²,2 514 h/km²,40.5%,9%,16 130 €/an,2 633 €/m²,2.6
Saint-Priest,46 927,30 km²,1 564 h/km²,45.9%,6.1%,20 290 €/an,2 725 €/m²,2.6
Caluire-et-Cuire,43 294,10 km²,4 329 h/km²,46.3%,4.7%,25 870 €/an,3 770 €/m²,3.7
Bron,42 244,10 km²,4 224 h/km²,46.4%,6.7%,20 920 €/an,3 227 €/m²,3.4
Villefranche-sur-Saône,36 291,9 km²,4 032 h/km²,43.5%,7.7%,18 610 €/an,2 097 €/m²,2.7
Meyzieu,34 640,23 km²,1 506 h/km²,45.9%,5.8%,22 790 €/an,3 355 €/m²,3.6
Rillieux-la-Pape,30 697,14 km²,2 193 h/km²,41.4%,6.5%,19 010 €/an,2 980 €/m²,3.2
Décines-Charpieu,28 930,17 km²,1 702 h/km²,45.7%,6.4%,21 060 €/an,2 978 €/m²,3.8
Oullins,26 553,4 km²,6 638 h/km²,50%,5.6%,22 720 €/an,2 967 €/m²,3.5
Sainte-Foy-lès-Lyon,22 175,7 km²,3 168 h/km²,43.7%,3.9%,27 370 €/an,3 496 €/m²,4.0
Tassin-la-Demi-Lune,22 286,8 km²,2 786 h/km²,49%,4.9%,27 540 €/an,3 774 €/m²,3.9
Saint-Genis-Laval,20 914,13 km²,1 609 h/km²,44.8%,4.6%,25 710 €/an,3 354 €/m²,3.5
