Nb habitants,566 412,Classement
Age moyen,57 ans,Classement
Pop active,44.9%,Classement
Taux chômage,5.6%,Classement
Pop densité,91 h/km²,Classement
Revenu moyen,20 418 €/an,Classement
Agressions physiques / sexuelles,3 654
Cambriolages,701
Vols / dégradations,4 492
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Le Mans,143 847,53 km²,2 714 h/km²,44.5%,8.3%,20 480 €/an,1 679 €/m²,3.4
La Flèche,14 858,74 km²,201 h/km²,41.5%,6.3%,20 620 €/an,1 415 €/m²,3.7
Sablé-sur-Sarthe,12 125,37 km²,328 h/km²,41.8%,7.6%,18 530 €/an,1 448 €/m²,2.3
Allonnes,11 167,18 km²,620 h/km²,38.7%,8.2%,17 970 €/an,1 361 €/m²,3.7
La Ferté-Bernard,8 862,15 km²,591 h/km²,41%,6.7%,20 290 €/an,1 419 €/m²,3.6
Coulaines,7 779,4 km²,1 945 h/km²,39.1%,9.1%,18 410 €/an,1 655 €/m²,3.7
Changé,6 552,35 km²,187 h/km²,45.1%,3.7%,24 480 €/an,1 799 €/m²,4.0
Montval-sur-Loir,6 038,27 km²,224 h/km²,38.2%,8.3%,19 360 €/an,1 087 €/m²,3.4
Mamers,5 157,5 km²,1 031 h/km²,37%,7.1%,18 690 €/an,894 €/m²,3.3
Arnage,5 503,11 km²,500 h/km²,43%,5.1%,21 910 €/an,1 596 €/m²,3.9
Mulsanne,5 225,15 km²,348 h/km²,43.9%,5.1%,21 970 €/an,1 953 €/m²,3.3
Parigné-l'Évêque,5 286,63 km²,84 h/km²,44.9%,3.5%,23 010 €/an,1 649 €/m²,4.5
Écommoy,4 744,29 km²,164 h/km²,44.2%,4.6%,20 780 €/an,1 395 €/m²,4.1
La Suze-sur-Sarthe,4 473,21 km²,213 h/km²,44%,4%,21 890 €/an,1 664 €/m²,4.8
Yvré-l'Évêque,4 261,28 km²,152 h/km²,41.8%,3.5%,25 280 €/an,1 802 €/m²,3.9
