Nb habitants,436 434,Classement
Age moyen,57 ans,Classement
Pop active,47.9%,Classement
Taux chômage,4.3%,Classement
Pop densité,72 h/km²,Classement
Revenu moyen,23 187 €/an,Classement
Agressions physiques / sexuelles,2 491
Cambriolages,534
Vols / dégradations,3 300
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Chambéry,58 917,21 km²,2 806 h/km²,44.7%,6.7%,20 790 €/an,2 416 €/m²,3.6
Aix-les-Bains,30 463,13 km²,2 343 h/km²,45.1%,5.8%,22 710 €/an,3 371 €/m²,3.8
Albertville,19 502,18 km²,1 083 h/km²,44%,6.5%,19 750 €/an,1 705 €/m²,3.1
La Motte-Servolex,12 120,30 km²,404 h/km²,47.6%,4.3%,24 870 €/an,2 865 €/m²,4.1
La Ravoire,8 530,7 km²,1 219 h/km²,47.9%,5%,23 440 €/an,2 503 €/m²,4.0
Saint-Jean-de-Maurienne,7 621,12 km²,635 h/km²,42.4%,4.3%,20 970 €/an,1 470 €/m²,4.1
Bourg-Saint-Maurice,7 195,179 km²,40 h/km²,54.7%,3.1%,22 400 €/an,3 681 €/m²,4.1
Ugine,7 096,57 km²,124 h/km²,45.2%,4.7%,21 330 €/an,1 996 €/m²,3.3
Cognin,6 359,4 km²,1 590 h/km²,43.6%,4.7%,22 440 €/an,2 356 €/m²,3.5
Entrelacs,6 315,52 km²,121 h/km²,51.9%,2.8%,24 980 €/an,2 467 €/m²,2.9
Saint-Alban-Leysse,6 285,8 km²,786 h/km²,48.3%,4%,25 390 €/an,2 795 €/m²,2.4
Challes-les-Eaux,5 609,6 km²,935 h/km²,50%,4.5%,25 510 €/an,2 961 €/m²,4.7
Barberaz,5 022,4 km²,1 256 h/km²,47.5%,4.4%,24 160 €/an,3 149 €/m²,4.1
Le Bourget-du-Lac,4 966,20 km²,248 h/km²,43.4%,3.6%,26 130 €/an,3 730 €/m²,2.8
Grésy-sur-Aix,4 595,13 km²,353 h/km²,50.7%,3.6%,25 380 €/an,3 225 €/m²,4.1
