Nb habitants,551 493,Classement
Age moyen,58 ans,Classement
Pop active,43.5%,Classement
Taux chômage,5.2%,Classement
Pop densité,64 h/km²,Classement
Revenu moyen,19 955 €/an,Classement
Agressions physiques / sexuelles,2 633
Cambriolages,631
Vols / dégradations,2 881
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Chalon-sur-Saône,45 056,15 km²,3 004 h/km²,45%,8.6%,18 810 €/an,1 156 €/m²,3.6
Mâcon,33 908,27 km²,1 256 h/km²,44%,8%,18 440 €/an,1 593 €/m²,2.8
Le Creusot,21 269,18 km²,1 182 h/km²,37.6%,7%,19 370 €/an,1 119 €/m²,3.2
Montceau-les-Mines,17 678,17 km²,1 040 h/km²,37.3%,7.3%,18 540 €/an,929 €/m²,2.6
Autun,12 987,62 km²,209 h/km²,40%,6.4%,19 190 €/an,1 001 €/m²,3.5
Paray-le-Monial,9 214,25 km²,369 h/km²,36.4%,5.1%,19 810 €/an,1 492 €/m²,3.8
Saint-Vallier,8 576,24 km²,357 h/km²,41.9%,5.2%,21 080 €/an,1 069 €/m²,4.8
Digoin,7 741,35 km²,221 h/km²,39.6%,8.3%,18 500 €/an,926 €/m²,3.9
Gueugnon,6 760,29 km²,233 h/km²,37.5%,5.7%,20 260 €/an,895 €/m²,3.0
Charnay-lès-Mâcon,7 742,13 km²,596 h/km²,43.3%,3.9%,23 890 €/an,2 008 €/m²,3.7
Saint-Rémy,6 615,10 km²,662 h/km²,41.6%,4.8%,22 640 €/an,1 626 €/m²,-
Louhans,6 433,23 km²,280 h/km²,38.2%,5.9%,19 870 €/an,1 326 €/m²,3.4
Blanzy,6 060,40 km²,152 h/km²,39.7%,5.3%,20 820 €/an,1 165 €/m²,3.7
Châtenoy-le-Royal,6 148,13 km²,473 h/km²,40.1%,4.7%,21 480 €/an,1 619 €/m²,-
Saint-Marcel,6 190,10 km²,619 h/km²,47.3%,6%,20 920 €/an,1 576 €/m²,-
