Nb habitants,1 644 903,Classement
Age moyen,56 ans,Classement
Pop active,47.8%,Classement
Taux chômage,8.5%,Classement
Pop densité,7 030 h/km²,Classement
Revenu moyen,19 247 €/an,Classement
Agressions physiques / sexuelles,26 086
Cambriolages,6 016
Vols / dégradations,50 495
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Saint-Denis,112 852,12 km²,9 404 h/km²,48.3%,10.7%,15 720 €/an,3 775 €/m²,2.3
Montreuil,111 240,9 km²,12 360 h/km²,52.1%,8.9%,20 000 €/an,5 827 €/m²,2.9
Aubervilliers,88 948,6 km²,14 825 h/km²,47.6%,10.4%,14 640 €/an,3 736 €/m²,2.3
Aulnay-sous-Bois,86 969,16 km²,5 436 h/km²,45.2%,8.6%,17 910 €/an,3 348 €/m²,2.5
Drancy,72 376,8 km²,9 047 h/km²,47.4%,9.5%,17 810 €/an,3 429 €/m²,2.5
Noisy-le-Grand,67 871,13 km²,5 221 h/km²,51%,6.8%,22 100 €/an,3 866 €/m²,3.8
Le Blanc-Mesnil,57 498,8 km²,7 187 h/km²,45.2%,9.2%,16 570 €/an,3 606 €/m²,3.7
Pantin,59 846,5 km²,11 969 h/km²,51.3%,8.4%,18 450 €/an,5 507 €/m²,3.4
Épinay-sur-Seine,54 611,5 km²,10 922 h/km²,45.6%,8.4%,16 910 €/an,2 781 €/m²,3.2
Bondy,54 587,5 km²,10 917 h/km²,45.4%,9.3%,16 680 €/an,3 152 €/m²,1.9
Bobigny,54 363,7 km²,7 766 h/km²,42.1%,8.9%,15 500 €/an,3 147 €/m²,2.5
Sevran,51 734,7 km²,7 391 h/km²,44.4%,9.1%,16 450 €/an,2 684 €/m²,2.6
Saint-Ouen-sur-Seine,50 697,4 km²,12 674 h/km²,53.7%,9.5%,18 760 €/an,5 781 €/m²,2.7
Rosny-sous-Bois,46 024,6 km²,7 671 h/km²,49.9%,6.9%,20 770 €/an,3 737 €/m²,3.5
Livry-Gargan,45 692,7 km²,6 527 h/km²,48.2%,6.2%,20 990 €/an,3 237 €/m²,2.5
