Nb habitants,570 559,Classement
Age moyen,56 ans,Classement
Pop active,44.7%,Classement
Taux chômage,6.9%,Classement
Pop densité,92 h/km²,Classement
Revenu moyen,19 019 €/an,Classement
Agressions physiques / sexuelles,4 238
Cambriolages,473
Vols / dégradations,4 324
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Amiens,134 706,50 km²,2 694 h/km²,44%,8.8%,18 820 €/an,2 168 €/m²,3.5
Abbeville,22 980,26 km²,884 h/km²,41.1%,9.7%,18 140 €/an,1 433 €/m²,3.1
Albert,9 779,14 km²,699 h/km²,42.3%,9.1%,18 980 €/an,1 320 €/m²,3.4
Péronne,7 577,14 km²,541 h/km²,39.5%,10%,17 980 €/an,1 409 €/m²,2.7
Doullens,5 890,33 km²,178 h/km²,40.4%,10%,17 610 €/an,1 243 €/m²,3.6
Corbie,6 292,16 km²,393 h/km²,43.4%,6.8%,20 570 €/an,1 609 €/m²,3.9
Montdidier,6 113,13 km²,470 h/km²,42.1%,8.5%,18 270 €/an,1 371 €/m²,4.1
Roye,5 693,16 km²,356 h/km²,43.3%,9.1%,18 220 €/an,1 170 €/m²,3.5
Longueau,5 765,3 km²,1 922 h/km²,45.7%,6.5%,20 570 €/an,1 929 €/m²,3.5
Friville-Escarbotin,4 491,9 km²,499 h/km²,42.8%,7.9%,18 870 €/an,1 135 €/m²,3.4
Ham,4 559,10 km²,456 h/km²,37.6%,10.8%,16 940 €/an,1 013 €/m²,2.2
Villers-Bretonneux,4 592,15 km²,306 h/km²,48.3%,5.1%,22 640 €/an,1 734 €/m²,3.5
Camon,4 436,13 km²,341 h/km²,44.3%,6.1%,23 180 €/an,2 024 €/m²,4.3
Salouël,3 918,4 km²,980 h/km²,34.6%,4%,25 870 €/an,2 256 €/m²,-
Moreuil,3 986,23 km²,173 h/km²,44.6%,7.2%,20 150 €/an,1 547 €/m²,3.8
