Nb habitants,260 669,Classement
Age moyen,58 ans,Classement
Pop active,44.2%,Classement
Taux chômage,6.1%,Classement
Pop densité,70 h/km²,Classement
Revenu moyen,19 025 €/an,Classement
Agressions physiques / sexuelles,1 295
Cambriolages,344
Vols / dégradations,1 393
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Montauban,61 372,135 km²,455 h/km²,43.4%,6.6%,20 520 €/an,1 703 €/m²,3.6
Castelsarrasin,14 114,77 km²,183 h/km²,42%,7.2%,18 880 €/an,1 381 €/m²,3.8
Moissac,13 378,86 km²,156 h/km²,39.4%,8.2%,18 110 €/an,1 213 €/m²,3.2
Caussade,6 808,46 km²,148 h/km²,40.5%,7.6%,18 770 €/an,1 385 €/m²,2.0
Montech,6 589,50 km²,132 h/km²,45.9%,6.1%,20 940 €/an,1 750 €/m²,3.7
Nègrepelisse,5 685,49 km²,116 h/km²,41.8%,6.2%,19 920 €/an,1 541 €/m²,3.6
Valence,5 205,13 km²,400 h/km²,37.1%,6.8%,18 980 €/an,1 268 €/m²,3.9
Verdun-sur-Garonne,4 808,36 km²,134 h/km²,47%,5.3%,21 600 €/an,1 582 €/m²,3.6
Montbeton,4 241,16 km²,265 h/km²,47.7%,4.5%,22 060 €/an,1 544 €/m²,3.4
Grisolles,4 177,18 km²,232 h/km²,47.6%,6.7%,22 710 €/an,1 724 €/m²,4.2
Beaumont-de-Lomagne,3 773,46 km²,82 h/km²,39.1%,5.6%,19 370 €/an,1 226 €/m²,3.2
Saint-Étienne-de-Tulmont,3 901,21 km²,186 h/km²,47.8%,5.4%,21 820 €/an,1 707 €/m²,3.0
Bressols,3 697,20 km²,185 h/km²,50.3%,4.9%,22 520 €/an,1 953 €/m²,4.1
Labastide-Saint-Pierre,3 783,21 km²,180 h/km²,46.4%,6.4%,20 220 €/an,1 898 €/m²,3.9
Albias,3 294,22 km²,150 h/km²,43.9%,5.3%,20 430 €/an,1 620 €/m²,-
