Nb habitants,389 844,Classement
Age moyen,58 ans,Classement
Pop active,43.1%,Classement
Taux chômage,5.8%,Classement
Pop densité,68 h/km²,Classement
Revenu moyen,18 599 €/an,Classement
Agressions physiques / sexuelles,2 410
Cambriolages,523
Vols / dégradations,2 175
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Albi,48 902,44 km²,1 111 h/km²,40.7%,7.6%,20 710 €/an,1 925 €/m²,3.5
Castres,42 079,98 km²,429 h/km²,42.3%,7.3%,19 850 €/an,1 374 €/m²,3.5
Gaillac,15 265,51 km²,299 h/km²,41.4%,6.5%,19 570 €/an,1 514 €/m²,3.9
Graulhet,12 844,57 km²,225 h/km²,38.7%,7.2%,17 780 €/an,1 161 €/m²,3.1
Lavaur,10 879,63 km²,173 h/km²,43.1%,5.2%,21 600 €/an,1 701 €/m²,3.9
Mazamet,9 996,72 km²,139 h/km²,38.9%,8.7%,18 560 €/an,1 008 €/m²,3.6
Carmaux,9 782,14 km²,699 h/km²,37.7%,7.1%,18 470 €/an,1 060 €/m²,2.2
Saint-Sulpice-la-Pointe,9 336,24 km²,389 h/km²,48.2%,3.9%,23 550 €/an,2 066 €/m²,3.4
Saint-Juéry,6 694,9 km²,744 h/km²,41.9%,5.9%,20 140 €/an,1 639 €/m²,4.3
Labruguière,6 506,61 km²,107 h/km²,43.3%,4.8%,20 180 €/an,1 313 €/m²,4.0
Aussillon,5 827,10 km²,583 h/km²,33%,6%,18 300 €/an,1 106 €/m²,-
Rabastens,5 713,66 km²,87 h/km²,47%,5.4%,22 070 €/an,1 846 €/m²,4.3
Lisle-sur-Tarn,4 676,87 km²,54 h/km²,44.2%,5.9%,21 160 €/an,1 581 €/m²,2.3
Lescure-d'Albigeois,4 574,14 km²,327 h/km²,43.5%,4.2%,21 810 €/an,1 639 €/m²,4.5
Saïx,3 602,14 km²,257 h/km²,43.4%,4.8%,22 210 €/an,1 592 €/m²,2.6
