Nb habitants,141 318,Classement
Age moyen,56 ans,Classement
Pop active,46.2%,Classement
Taux chômage,6.7%,Classement
Pop densité,230 h/km²,Classement
Revenu moyen,24 243 €/an,Classement
Agressions physiques / sexuelles,898
Cambriolages,120
Vols / dégradations,642
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Belfort,46 443,17 km²,2 732 h/km²,45.1%,9.3%,18 460 €/an,1 273 €/m²,3.4
Delle,5 667,9 km²,630 h/km²,45.2%,8.8%,20 860 €/an,1 560 €/m²,4.6
Valdoie,5 269,5 km²,1 054 h/km²,44.4%,7.3%,20 460 €/an,1 486 €/m²,4.0
Beaucourt,5 010,5 km²,1 002 h/km²,45.8%,7.9%,21 420 €/an,1 194 €/m²,-
Bavilliers,4 659,5 km²,932 h/km²,40.1%,5.3%,21 820 €/an,1 517 €/m²,3.5
Offemont,4 219,6 km²,703 h/km²,43.8%,7.4%,22 240 €/an,1 728 €/m²,3.4
Danjoutin,3 620,6 km²,603 h/km²,48.2%,7.2%,21 540 €/an,1 511 €/m²,4.3
Essert,3 321,7 km²,474 h/km²,43.3%,4.2%,24 180 €/an,1 700 €/m²,4.2
Giromagny,2 929,6 km²,488 h/km²,43.4%,5.8%,20 130 €/an,1 075 €/m²,4.0
Grandvillars,3 003,15 km²,200 h/km²,46.6%,6.4%,21 490 €/an,2 115 €/m²,-
Châtenois-les-Forges,2 667,9 km²,296 h/km²,47.6%,4.3%,23 000 €/an,1 247 €/m²,-
Évette-Salbert,2 032,9 km²,226 h/km²,42.7%,2.6%,27 570 €/an,1 672 €/m²,-
Cravanche,1 951,1 km²,1 951 h/km²,42.8%,5.6%,23 790 €/an,1 481 €/m²,3.6
Bourogne,1 903,14 km²,136 h/km²,60.7%,6.3%,23 150 €/an,1 661 €/m²,3.2
Chèvremont,1 570,9 km²,174 h/km²,47.4%,3.1%,25 740 €/an,1 764 €/m²,4.8
