Nb habitants,1 407 124,Classement
Age moyen,55 ans,Classement
Pop active,49.9%,Classement
Taux chômage,6.2%,Classement
Pop densité,5 815 h/km²,Classement
Revenu moyen,24 531 €/an,Classement
Agressions physiques / sexuelles,15 730
Cambriolages,4 860
Vols / dégradations,30 952
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Vitry-sur-Seine,95 510,12 km²,7 959 h/km²,47.6%,7.5%,18 880 €/an,4 125 €/m²,2.3
Créteil,93 246,11 km²,8 477 h/km²,49.3%,7%,20 250 €/an,3 765 €/m²,3.6
Champigny-sur-Marne,76 990,11 km²,6 999 h/km²,48.6%,6.9%,20 250 €/an,3 837 €/m²,3.1
Saint-Maur-des-Fossés,74 976,11 km²,6 816 h/km²,49%,4.1%,30 780 €/an,5 699 €/m²,3.9
Ivry-sur-Seine,63 748,6 km²,10 625 h/km²,51.3%,8%,18 810 €/an,4 906 €/m²,2.3
Villejuif,55 208,5 km²,11 042 h/km²,48.6%,7.4%,20 590 €/an,4 867 €/m²,2.7
Maisons-Alfort,56 483,5 km²,11 297 h/km²,53%,5.2%,26 440 €/an,5 407 €/m²,3.9
Fontenay-sous-Bois,52 008,6 km²,8 668 h/km²,50.8%,6.5%,24 310 €/an,5 850 €/m²,3.3
Vincennes,49 788,2 km²,24 894 h/km²,56.1%,4.8%,33 350 €/an,8 438 €/m²,4.2
Alfortville,44 805,4 km²,11 201 h/km²,53.4%,8.1%,21 140 €/an,4 906 €/m²,3.4
Choisy-le-Roi,46 150,5 km²,9 230 h/km²,51.6%,8%,19 930 €/an,3 700 €/m²,2.8
Le Perreux-sur-Marne,33 588,4 km²,8 397 h/km²,51.8%,4.7%,29 720 €/an,5 349 €/m²,3.9
Villeneuve-Saint-Georges,34 890,9 km²,3 877 h/km²,46.3%,8.2%,16 250 €/an,3 031 €/m²,2.1
Nogent-sur-Marne,34 042,3 km²,11 347 h/km²,51%,4.8%,31 910 €/an,6 210 €/m²,4.0
L'Haÿ-les-Roses,32 071,4 km²,8 018 h/km²,47.4%,6%,23 560 €/an,4 244 €/m²,3.1
