Nb habitants,561 469,Classement
Age moyen,58 ans,Classement
Pop active,44%,Classement
Taux chômage,7.1%,Classement
Pop densité,157 h/km²,Classement
Revenu moyen,20 306 €/an,Classement
Agressions physiques / sexuelles,4 449
Cambriolages,2 400
Vols / dégradations,7 196
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Avignon,91 143,65 km²,1 402 h/km²,41.8%,10.3%,16 910 €/an,2 127 €/m²,2.6
Orange,28 772,74 km²,389 h/km²,42.7%,7.3%,19 220 €/an,2 120 €/m²,3.3
Carpentras,29 236,38 km²,769 h/km²,41.1%,8.6%,17 600 €/an,2 128 €/m²,3.2
Cavaillon,26 236,46 km²,570 h/km²,42.9%,7.5%,17 610 €/an,2 013 €/m²,2.8
Pertuis,20 557,66 km²,311 h/km²,47.5%,6.6%,21 740 €/an,2 671 €/m²,3.1
L'Isle-sur-la-Sorgue,20 042,45 km²,445 h/km²,44.3%,7.2%,21 350 €/an,2 450 €/m²,3.6
Sorgues,18 893,33 km²,573 h/km²,44.2%,7.9%,19 270 €/an,2 178 €/m²,3.0
Le Pontet,17 041,11 km²,1 549 h/km²,42.9%,7.4%,18 760 €/an,1 748 €/m²,4.0
Bollène,13 439,54 km²,249 h/km²,38.6%,7.7%,19 010 €/an,1 602 €/m²,2.4
Monteux,12 935,39 km²,332 h/km²,47.8%,6.9%,19 850 €/an,2 577 €/m²,3.8
Apt,11 037,45 km²,245 h/km²,40.8%,9.2%,17 730 €/an,1 115 €/m²,1.9
Vedène,11 383,11 km²,1 035 h/km²,49.7%,6.5%,21 940 €/an,2 139 €/m²,3.4
Pernes-les-Fontaines,10 170,51 km²,199 h/km²,45.3%,4.9%,22 750 €/an,2 031 €/m²,4.0
Valréas,9 403,58 km²,162 h/km²,38.2%,7.6%,17 960 €/an,1 341 €/m²,3.2
Le Thor,8 940,36 km²,248 h/km²,48.1%,5.3%,22 120 €/an,2 925 €/m²,3.0
