Nb habitants,686 113,Classement
Age moyen,58 ans,Classement
Pop active,44.6%,Classement
Taux chômage,4.7%,Classement
Pop densité,102 h/km²,Classement
Revenu moyen,20 989 €/an,Classement
Agressions physiques / sexuelles,3 019
Cambriolages,652
Vols / dégradations,3 853
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
La Roche-sur-Yon,55 147,88 km²,627 h/km²,44.8%,7.1%,21 320 €/an,1 820 €/m²,3.7
Les Sables-d'Olonne,45 030,86 km²,524 h/km²,35.3%,5%,23 350 €/an,3 312 €/m²,3.6
Challans,21 322,65 km²,328 h/km²,41.7%,5.8%,21 620 €/an,2 107 €/m²,3.7
Montaigu-Vendée,20 424,117 km²,175 h/km²,50.7%,3.8%,22 670 €/an,1 940 €/m²,4.5
Les Herbiers,16 250,89 km²,183 h/km²,48.3%,4.3%,21 720 €/an,1 837 €/m²,4.2
Fontenay-le-Comte,13 235,34 km²,389 h/km²,38.7%,5.7%,20 230 €/an,1 166 €/m²,3.6
Saint-Hilaire-de-Riez,11 297,49 km²,231 h/km²,33.1%,4.8%,22 830 €/an,2 560 €/m²,3.7
Luçon,9 554,32 km²,299 h/km²,39.4%,7.4%,20 670 €/an,1 459 €/m²,3.8
Aizenay,9 881,81 km²,122 h/km²,49.4%,3.9%,21 750 €/an,1 877 €/m²,4.3
Essarts en Bocage,9 174,100 km²,92 h/km²,51.7%,3.1%,21 680 €/an,1 453 €/m²,4.2
Saint-Jean-de-Monts,8 696,62 km²,140 h/km²,34.5%,4.9%,21 750 €/an,2 525 €/m²,3.8
Le Poiré-sur-Vie,8 596,72 km²,119 h/km²,48.6%,4.1%,22 490 €/an,1 736 €/m²,2.7
Chantonnay,8 394,83 km²,101 h/km²,45.5%,4.3%,20 380 €/an,1 336 €/m²,3.4
Saint-Gilles-Croix-de-Vie,7 862,10 km²,786 h/km²,32.1%,4.6%,23 180 €/an,3 524 €/m²,4.2
Talmont-Saint-Hilaire,7 831,90 km²,87 h/km²,40.9%,5.8%,23 090 €/an,2 471 €/m²,4.1
