Nb habitants,438 435,Classement
Age moyen,56 ans,Classement
Pop active,44.5%,Classement
Taux chômage,5.5%,Classement
Pop densité,63 h/km²,Classement
Revenu moyen,20 274 €/an,Classement
Agressions physiques / sexuelles,2 306
Cambriolages,571
Vols / dégradations,3 109
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Poitiers,89 212,42 km²,2 124 h/km²,43.8%,8.3%,19 300 €/an,1 784 €/m²,3.5
Châtellerault,31 487,52 km²,606 h/km²,39.6%,7.8%,19 430 €/an,1 211 €/m²,3.1
Buxerolles,10 060,9 km²,1 118 h/km²,45.7%,6.5%,22 580 €/an,1 656 €/m²,2.8
Jaunay-Marigny,7 600,48 km²,158 h/km²,48.7%,5%,22 200 €/an,1 642 €/m²,3.6
Chauvigny,7 062,96 km²,74 h/km²,42.6%,4.9%,21 100 €/an,1 257 €/m²,4.0
Saint-Benoît,7 267,14 km²,519 h/km²,42.8%,5.2%,24 900 €/an,1 769 €/m²,3.2
Loudun,6 712,44 km²,153 h/km²,40.4%,6.7%,19 270 €/an,1 060 €/m²,3.6
Montmorillon,5 940,57 km²,104 h/km²,38.2%,5.2%,20 650 €/an,1 253 €/m²,3.4
Migné-Auxances,6 154,29 km²,212 h/km²,47.7%,3.9%,23 630 €/an,1 667 €/m²,3.6
Naintré,5 941,25 km²,238 h/km²,44.9%,5.6%,21 990 €/an,1 352 €/m²,4.3
Vouneuil-sous-Biard,6 060,26 km²,233 h/km²,47.5%,3.6%,23 990 €/an,1 777 €/m²,3.9
Saint-Martin-la-Pallu,5 578,94 km²,59 h/km²,49.8%,3.8%,22 070 €/an,1 386 €/m²,-
Neuville-de-Poitou,5 359,17 km²,315 h/km²,46.2%,4.2%,22 090 €/an,1 673 €/m²,3.8
Chasseneuil-du-Poitou,4 692,18 km²,261 h/km²,45.7%,5.4%,21 780 €/an,1 768 €/m²,5.0
Valence-en-Poitou,4 455,83 km²,54 h/km²,43.9%,4.8%,20 240 €/an,927 €/m²,-
