Nb habitants,364 499,Classement
Age moyen,57 ans,Classement
Pop active,44.4%,Classement
Taux chômage,6.5%,Classement
Pop densité,62 h/km²,Classement
Revenu moyen,16 846 €/an,Classement
Agressions physiques / sexuelles,1 809
Cambriolages,267
Vols / dégradations,1 490
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Épinal,32 256,59 km²,547 h/km²,43.9%,8.4%,19 200 €/an,1 227 €/m²,3.3
Saint-Dié-des-Vosges,19 576,46 km²,426 h/km²,39.9%,9.7%,18 050 €/an,1 069 €/m²,3.4
Capavenir Vosges,8 634,28 km²,308 h/km²,46.9%,7.2%,20 220 €/an,1 211 €/m²,3.9
Golbey,8 798,9 km²,978 h/km²,46%,7.3%,19 380 €/an,1 360 €/m²,2.8
Gérardmer,7 807,55 km²,142 h/km²,42.5%,5.5%,21 060 €/an,2 244 €/m²,4.0
Remiremont,7 691,18 km²,427 h/km²,42%,8.6%,19 200 €/an,1 195 €/m²,4.3
Neufchâteau,6 636,24 km²,277 h/km²,43%,8%,19 250 €/an,1 063 €/m²,3.8
Raon-l'Étape,6 205,24 km²,259 h/km²,42.4%,8.9%,18 600 €/an,1 021 €/m²,3.7
Rambervillers,5 096,21 km²,243 h/km²,39%,10.3%,17 500 €/an,927 €/m²,1.4
Mirecourt,4 949,12 km²,412 h/km²,41.2%,7.3%,19 180 €/an,895 €/m²,4.3
Vittel,4 832,24 km²,201 h/km²,41.9%,5.5%,23 460 €/an,1 243 €/m²,3.8
Charmes,4 690,23 km²,204 h/km²,44.7%,10.5%,19 530 €/an,1 218 €/m²,3.5
La Bresse,4 143,58 km²,71 h/km²,43.5%,3.1%,21 270 €/an,1 981 €/m²,4.6
Saint-Nabord,3 994,39 km²,102 h/km²,46.3%,4.8%,22 190 €/an,1 339 €/m²,3.4
Vagney,3 911,25 km²,156 h/km²,44.2%,4.3%,20 940 €/an,1 313 €/m²,3.7
