Nb habitants,1 448 207,Classement
Age moyen,57 ans,Classement
Pop active,48.5%,Classement
Taux chômage,5%,Classement
Pop densité,635 h/km²,Classement
Revenu moyen,28 979 €/an,Classement
Agressions physiques / sexuelles,12 239
Cambriolages,3 685
Vols / dégradations,16 193
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Versailles,84 808,26 km²,3 262 h/km²,47.7%,3.9%,32 510 €/an,6 509 €/m²,3.8
Sartrouville,52 774,8 km²,6 597 h/km²,50.5%,6.2%,24 270 €/an,4 137 €/m²,3.2
Mantes-la-Jolie,43 921,9 km²,4 880 h/km²,43%,9%,16 520 €/an,2 535 €/m²,3.5
Saint-Germain-en-Laye,44 806,52 km²,862 h/km²,46.8%,4.7%,31 760 €/an,5 952 €/m²,4.2
Poissy,39 187,13 km²,3 014 h/km²,48.9%,6.4%,22 940 €/an,3 740 €/m²,3.8
Conflans-Sainte-Honorine,35 536,10 km²,3 554 h/km²,48%,4.1%,25 750 €/an,3 555 €/m²,3.7
Montigny-le-Bretonneux,32 282,12 km²,2 690 h/km²,52.4%,3.9%,29 780 €/an,3 785 €/m²,3.6
Les Mureaux,33 203,12 km²,2 767 h/km²,42.4%,7.8%,17 670 €/an,2 132 €/m²,4.0
Trappes,32 645,13 km²,2 511 h/km²,46.5%,7.6%,17 450 €/an,2 647 €/m²,3.1
Houilles,32 801,4 km²,8 200 h/km²,53.1%,4.6%,28 930 €/an,4 989 €/m²,3.2
Plaisir,30 950,19 km²,1 629 h/km²,50.5%,5.4%,24 530 €/an,3 036 €/m²,3.6
Le Chesnay-Rocquencourt,31 233,7 km²,4 462 h/km²,45.7%,4%,32 590 €/an,5 648 €/m²,3.4
Chatou,30 153,5 km²,6 031 h/km²,49.3%,4.2%,32 120 €/an,5 230 €/m²,3.9
Guyancourt,29 471,13 km²,2 267 h/km²,54.1%,5.7%,24 010 €/an,3 736 €/m²,3.6
Élancourt,25 624,9 km²,2 847 h/km²,51.7%,4.9%,25 300 €/an,2 895 €/m²,4.0
