|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|53.0|68.0|59.0|70.0|69.0|58.0|63.0|66.0|56.0|61.0|62.3|34.233333333333334|(58.11449978508273, 66.48550021491727)
1|tauxDeMortCasConnu|0.0|0.0|1.694915254237288|1.4285714285714286|1.4492753623188406|1.7241379310344827|1.5873015873015872|0.0|1.7857142857142856|0.0|0.9669915849177912|0.7049088125410151|(0.3663861689580987, 1.5675970008774835)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
4|tauxDeMort25-35ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
5|tauxDeMort35-45ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
6|tauxDeMort45-55ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
7|tauxDeMort55-65ans|0.0|0.0|0.0|0.0|11.11111111111111|0.0|0.0|0.0|0.0|0.0|1.1111111111111112|12.345679012345679|(-1.4023968474899902, 3.6246190697122125)
8|tauxDeMort65-75ans|0.0|0.0|20.0|0.0|0.0|25.0|16.666666666666664|0.0|14.285714285714285|0.0|7.595238095238095|103.33144368858653|(0.3234867036718434, 14.866989486804346)
9|tauxDeMort75+ans|0.0|0.0|0.0|16.666666666666664|0.0|0.0|0.0|0.0|0.0|0.0|1.6666666666666665|27.77777777777777|(-2.103595271234985, 5.436928604568318)
10|nbRandomGenere|3849138.0|3849138.0|3849138.0|3849138.0|3849138.0|3849138.0|3849138.0|3849138.0|3849138.0|3849138.0|3849138.0|0.0|(nan, nan)
