|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|68.0|56.0|65.0|62.0|62.0|57.0|57.0|56.0|68.0|56.0|60.7|24.677777777777777|(57.14634061544745, 64.25365938455255)
1|tauxDeMortCasConnu|1.4705882352941175|1.7857142857142856|0.0|0.0|0.0|1.7543859649122806|0.0|0.0|0.0|0.0|0.5010688485920683|0.6576194968418811|(-0.07904083407949647, 1.0811785312636335)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
4|tauxDeMort25-35ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
5|tauxDeMort35-45ans|9.090909090909092|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.9090909090909092|8.26446280991736|(-1.1474156024918107, 2.965597420673629)
6|tauxDeMort45-55ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
7|tauxDeMort55-65ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
8|tauxDeMort65-75ans|0.0|7.6923076923076925|0.0|0.0|0.0|12.5|0.0|0.0|0.0|0.0|2.019230769230769|19.40540762656147|(-1.132028666398456, 5.170490204859995)
9|tauxDeMort75+ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
10|nbRandomGenere|3854423.0|3854423.0|3854423.0|3854423.0|3854423.0|3854423.0|3854423.0|3854423.0|3854423.0|3854423.0|3854423.0|0.0|(nan, nan)
