|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|16121.0|14699.0|13897.0|9455.0|2931.0|3296.0|11307.0|14617.0|14978.0|14103.0|11540.4|23428551.377777778|(8077.854473745378, 15002.945526254622)
1|tauxDeMortCasConnu|0.6761367160846101|0.7551534117967208|0.8562999208462257|0.6768905341089371|0.8529512111907198|0.758495145631068|0.7340585478022463|0.7593897516590272|0.8011750567498999|0.8863362405162022|0.7756886536385658|0.005305312656872043|(0.7235837897535644, 0.8277935175235671)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.049701789264413515|0.05455537370430987|0.0|0.0|0.0|0.0|0.07194244604316546|0.12040939193257075|0.055991041433370664|0.12084592145015105|0.04734459638279813|0.002271591027752797|(0.013249819994667046, 0.08143937277092922)
4|tauxDeMort25-35ans|0.05367686527106817|0.11350737797956867|0.0|0.0|0.3067484662576687|0.0|0.07776049766718507|0.0|0.055991041433370664|0.0|0.06076842486088613|0.009123714376674143|(-0.007561133639142972, 0.1290979833609152)
5|tauxDeMort35-45ans|0.19851116625310172|0.0|0.16901408450704225|0.1779359430604982|0.0|0.0|0.06954102920723226|0.16750418760469013|0.1697792869269949|0.1770956316410862|0.11293813292006456|0.007240544630127762|(0.05206741953895533, 0.1738088463011738)
6|tauxDeMort45-55ans|0.2921129503407984|0.3686150605581885|0.27502750275027504|0.23828435266084197|0.7978723404255319|0.22727272727272727|0.1984126984126984|0.7360672975814931|0.249500998003992|0.42621204049014383|0.38093779684966905|0.04620153655939607|(0.22717510129024607, 0.534700492409092)
7|tauxDeMort55-65ans|0.6240998559769564|1.0204081632653061|1.160092807424594|0.25020850708924103|0.2840909090909091|1.1990407673860912|0.7230657989877078|0.7484168105929765|0.4994450610432853|1.320321469575201|0.7829190150432268|0.14484262868133801|(0.5106670812966715, 1.0551709487897822)
8|tauxDeMort65-75ans|1.4737991266375545|1.9757807520713833|1.7139090309822018|1.8830525272547076|2.3255813953488373|1.8867924528301887|1.9607843137254901|1.6877637130801686|1.9119351100811124|2.4437299035369775|1.9263128325548622|0.0823556570393478|(1.7210220301033166, 2.1316036350064076)
9|tauxDeMort75+ans|3.917525773195876|3.692976104272266|4.920514761544284|3.7525354969574036|4.3478260869565215|3.896103896103896|3.9622641509433962|3.648068669527897|4.512276045122761|3.8259564891222806|4.047604747374658|0.17075162114724385|(3.7520042285697057, 4.34320526617961)
