|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|9944.0|15472.0|14278.0|11295.0|4988.0|3686.0|12873.0|2090.0|19464.0|1362.0|9545.2|38649678.62222222|(5097.907258743157, 13992.492741256843)
1|tauxDeMortCasConnu|0.7843925985518906|0.7044984488107549|0.6863706401456787|0.7259849490925188|0.9021651964715317|0.8681497558328812|0.8933426551697351|1.1483253588516746|0.7398273736128237|1.6886930983847284|0.9141750074924218|0.09287959607207998|(0.6961617354089522, 1.1321882795758913)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.0|0.10940919037199125|0.06064281382656155|0.07293946024799416|0.0|0.0|0.0|0.0|0.12432656444260257|0.0|0.03673180288891495|0.002548103095480661|(0.0006214883099522131, 0.07284211746787769)
4|tauxDeMort25-35ans|0.0|0.0|0.0|0.14970059880239522|0.0|0.24509803921568626|0.06514657980456026|0.3952569169960474|0.0|0.0|0.08552021348186892|0.01886870625141974|(-0.012743650082160288, 0.1837840770458981)
5|tauxDeMort35-45ans|0.08130081300813008|0.0999000999000999|0.0|0.07412898443291327|0.0|0.0|0.12453300124533001|0.0|0.20876826722338201|0.0|0.05886311658098553|0.005169883483471538|(0.007427594572184212, 0.11029863858978685)
6|tauxDeMort45-55ans|0.30935808197989173|0.29688273132112813|0.3674540682414698|0.26791694574681846|0.6339144215530903|0.2070393374741201|0.3418803418803419|0.7042253521126761|0.15606710885680844|0.5586592178770949|0.384339760704344|0.03416206717432012|(0.2521204632271959, 0.5165590581814921)
7|tauxDeMort55-65ans|1.1441647597254003|0.7537688442211055|0.8714596949891068|0.6126616746085772|1.0218978102189782|1.4634146341463417|1.6938519447929739|1.8726591760299627|0.8364700961940611|3.289473684210526|1.3559822319137034|0.6341513700151733|(0.7863176198430065, 1.9256468439844001)
8|tauxDeMort65-75ans|1.8009478672985781|1.4142604596346495|2.1498371335504887|1.921537229783827|1.9927536231884055|1.3921113689095126|2.046384720327422|1.2244897959183674|2.171945701357466|4.848484848484849|2.0962752748453566|1.0483567578976825|(1.3638263874032819, 2.8287241622874313)
9|tauxDeMort75+ans|4.166666666666666|4.18702023726448|3.1013615733736764|3.878902554399243|4.732510288065844|4.958677685950414|3.888888888888889|6.63265306122449|3.512623490669594|6.25|4.53093044465033|1.3072196109771552|(3.7130363897652594, 5.3488244995354)
10|nbRandomGenere|22061875.0|22061875.0|22061875.0|22061875.0|22061875.0|22061875.0|22061875.0|22061875.0|22061875.0|22061875.0|22061875.0|0.0|(nan, nan)
