|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|8357.0|8413.0|7983.0|8505.0|8201.0|8571.0|8119.0|8836.0|8256.0|8172.0|8243.0|8702.0|8848.0|8215.0|8241.0|8486.0|8173.0|8210.0|8482.0|8129.0|8773.0|8496.0|8906.0|8371.0|8599.0|8460.0|8378.0|8441.0|8443.0|8460.0|8415.633333333333|55086.51609195402|(8327.992983109387, 8503.27368355728)
1|tauxDeMortCasConnu|1.3760918990068207|1.473909425888506|1.4656144306651635|1.0699588477366255|1.2193634922570418|1.4700735036751837|1.465697746027836|1.1770031688546854|1.3929263565891474|1.2114537444933922|1.3344656071818513|1.378993334865548|1.469258589511754|1.3390139987827145|1.456133964324718|1.3551732264906906|1.2724825645417839|1.559074299634592|1.5798160811129451|1.2916717923483823|1.3336372962498575|1.3418079096045197|1.5158320233550415|1.3021144427189106|1.4071403651587393|1.276595744680851|1.4681308188111721|1.469020258263239|1.5160487978206798|1.2529550827423168|1.3747152937798237|0.01454761622360552|(1.3296774729495233, 1.4197531146101237)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.09606147934678194|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10298661174047373|0.006634936369575189|0.0006383923652836534|(-0.0027997027621721755, 0.016069575501322556)
4|tauxDeMort25-35ans|0.10741138560687433|0.0|0.0|0.0|0.0|0.0|0.0|0.0949667616334283|0.0|0.0|0.0|0.0|0.0|0.10626992561105207|0.11402508551881414|0.0992063492063492|0.0|0.0|0.0|0.10471204188481677|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.020886384982044495|0.0018127651000025852|(0.004988029010684909, 0.036784740953404074)
5|tauxDeMort35-45ans|0.6869479882237487|0.09727626459143969|0.2066115702479339|0.0|0.10427528675703858|0.09596928982725528|0.8412197686645636|0.2638522427440633|0.499001996007984|0.2004008016032064|0.0|0.0|0.08976660682226212|0.0|0.19743336623889435|0.18885741265344666|0.09532888465204957|0.20100502512562815|0.0|0.2982107355864811|0.18148820326678766|0.19550342130987292|0.1863932898415657|0.1932367149758454|0.09784735812133072|0.19011406844106463|0.7729468599033816|0.09363295880149813|0.3861003861003861|0.09267840593141798|0.21520329688130488|0.048108704837272434|(0.1333015276030702, 0.29710506615953947)
6|tauxDeMort45-55ans|0.5366726296958855|0.8174386920980926|0.5714285714285714|0.44365572315882873|0.6554307116104869|0.800711743772242|0.5410279531109108|0.35149384885764495|0.3646308113035551|0.5703422053231939|0.8174386920980926|0.6785411365564037|0.17211703958691912|0.6463527239150507|0.5581395348837209|0.5529953917050692|0.5847953216374269|0.6227758007117438|0.927643784786642|0.36199095022624433|0.3524229074889868|0.44964028776978415|0.5067567567567568|0.3813155386081983|0.34334763948497854|0.6323396567299007|0.8795074758135445|0.6352087114337568|0.2909796314258002|0.27002700270027|0.5439056291559567|0.03605132287214349|(0.473006311776195, 0.6148049465357185)
7|tauxDeMort55-65ans|1.3574660633484164|1.608325449385052|1.5873015873015872|1.4272121788772598|1.5223596574690772|1.9848771266540641|2.075098814229249|1.2750455373406193|1.935483870967742|1.832208293153327|1.0648596321393997|1.0232558139534882|1.7447199265381086|1.594746716697936|1.4300306435137897|1.866666666666667|0.8604206500956023|1.984126984126984|2.2286821705426356|1.8108651911468814|1.4010507880910683|1.509433962264151|1.881720430107527|1.1352885525070955|1.7625231910946195|0.8249312557286892|1.69971671388102|1.231060606060606|2.1435228331780056|1.1680143755615455|1.565700522754074|0.14407295532147477|(1.4239669667262447, 1.7074340787819036)
8|tauxDeMort65-75ans|2.415966386554622|1.8967334035827188|3.0373831775700935|1.6216216216216217|2.043010752688172|2.286282306163022|2.7439024390243905|2.4390243902439024|2.850877192982456|2.4757804090419806|3.0467899891186074|2.768903088391906|2.972195589645254|2.8895768833849327|2.8311425682507583|1.8867924528301887|1.8065887353878853|2.8729281767955803|2.4096385542168677|2.7027027027027026|2.330293819655522|3.1578947368421053|2.3138832997987926|2.4033437826541273|3.0208333333333335|2.1761658031088085|2.904564315352697|3.1714568880079286|2.4606299212598426|2.7563395810363835|2.556441543374907|0.18074339505189646|(2.397691932668273, 2.7151911540815408)
9|tauxDeMort75+ans|7.664233576642336|9.789343246592317|8.578745198463508|6.595995288574794|6.612529002320186|9.0|7.345360824742269|6.946107784431138|7.212713936430318|6.405228758169934|7.389749702026221|8.865248226950355|8.539325842696629|7.326478149100257|8.263473053892216|8.521303258145362|9.021601016518424|8.913308913308914|9.575757575757576|6.6339066339066335|8.530805687203792|7.076566125290023|9.080962800875273|8.854166666666668|8.173076923076923|8.363636363636363|7.622739018087856|8.942065491183879|8.518086347724621|7.88485607008761|8.07491238275008|0.8972324540223799|(7.721213296229738, 8.428611469270422)
