|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|5381.0|4828.0|4836.0|4267.0|4678.0|4982.0|4655.0|4671.0|4801.0|4767.0|4566.0|4894.0|4130.0|5060.0|3663.0|4581.0|4414.0|4101.0|4778.0|5324.0|3435.0|5343.0|4872.0|4674.0|4058.0|4665.0|4271.0|5344.0|4672.0|5309.0|4667.333333333333|228107.7471264368|(4488.992221949613, 4845.674444717053)
1|tauxDeMortCasConnu|0.39026203307935325|0.3935376967688484|0.2894954507857734|0.25779235997187716|0.3420265070542967|0.1806503412284223|0.40816326530612246|0.4923999143652323|0.20828993959591752|0.2936857562408223|0.2628120893561104|0.3473641193297916|0.26634382566585957|0.37549407114624506|0.3549003549003549|0.34926871862038855|0.31717263253285005|0.2926115581565472|0.35579740477187105|0.2066115702479339|0.40756914119359533|0.3368893879842785|0.49261083743842365|0.363714163457424|0.5421389847215378|0.3429796355841372|0.5385155701240927|0.5800898203592814|0.2996575342465753|0.489734413260501|0.35928596991648215|0.010362552432625113|(0.32127448622660915, 0.3972974536063554)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.0|0.0|0.0|0.0|0.18450184501845018|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.006150061500615006|0.0011346976938404068|(-0.006428226581381933, 0.018728349582611943)
4|tauxDeMort25-35ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.18484288354898337|0.0|0.006161429451632779|0.0011388963866234341|(-0.006440108700756026, 0.018762967604021585)
5|tauxDeMort35-45ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.18315018315018314|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.006105006105006105|0.0011181329862648543|(-0.006381133346353501, 0.01859114555636571)
6|tauxDeMort45-55ans|0.1488095238095238|0.33003300330033003|0.46728971962616817|0.0|0.0|0.15600624024961|0.30816640986132515|0.49261083743842365|0.16393442622950818|0.1519756838905775|0.0|0.0|0.18050541516245489|0.0|0.19960079840319359|0.0|0.0|0.18214936247723132|0.5076142131979695|0.0|0.0|0.1440922190201729|0.0|0.15772870662460567|0.17543859649122806|0.0|0.0|0.2751031636863824|0.0|0.14513788098693758|0.13953987334852141|0.02460914169347711|(0.08096252821459057, 0.1981172184824523)
7|tauxDeMort55-65ans|0.13774104683195593|0.32679738562091504|0.0|0.3683241252302026|0.5033557046979865|0.1631321370309951|0.17123287671232876|0.17543859649122806|0.0|0.3215434083601286|0.0|0.3129890453834116|0.78125|0.44709388971684055|0.22075055187637968|0.0|0.18450184501845018|0.3703703703703704|0.1610305958132045|0.3053435114503817|0.0|0.2844950213371266|0.1529051987767584|0.48939641109298526|0.5836575875486382|0.17921146953405018|0.1941747572815534|0.15698587127158556|0.33222591362126247|0.1557632398753894|0.2493236853648043|0.034514943435877195|(0.1799515545938335, 0.3186958161357751)
8|tauxDeMort65-75ans|0.6349206349206349|0.5424954792043399|0.19193857965451055|0.20408163265306123|0.5208333333333333|0.37523452157598497|0.5199306759098787|0.5607476635514018|0.5128205128205128|0.39447731755424065|0.7797270955165692|0.718132854578097|0.43668122270742354|0.8710801393728222|0.6593406593406593|0.3780718336483932|0.205761316872428|0.21413276231263384|0.3710575139146568|0.5059021922428331|0.8823529411764706|0.0|0.7285974499089253|0.38167938931297707|0.6437768240343348|0.81799591002045|0.8163265306122449|1.1627906976744187|0.3590664272890485|0.9950248756218906|0.5461659662445059|0.07073066051069428|(0.44685772102493077, 0.645474211464081)
9|tauxDeMort75+ans|2.8846153846153846|2.6200873362445414|1.9880715705765408|1.8648018648018647|1.9148936170212765|0.992063492063492|2.981651376146789|3.5955056179775284|1.25|1.935483870967742|1.873536299765808|2.4070021881838075|0.9685230024213075|2.2964509394572024|2.272727272727273|3.131991051454139|2.8169014084507045|1.9704433497536946|2.455357142857143|1.1342155009451798|3.559870550161812|2.9182879377431905|3.6659877800407332|2.5522041763341066|3.7593984962406015|2.517162471395881|4.411764705882353|3.783783783783784|2.013422818791946|3.71900826446281|2.541840442375621|0.8091292275160881|(2.2059556077505627, 2.8777252770006805)
10|nbRandomGenere|22230949.0|22205304.0|22209896.0|22187341.0|22201480.0|22222430.0|22198632.0|22193315.0|22212007.0|22209361.0|22199159.0|22210331.0|22178004.0|22217125.0|22152394.0|22196839.0|22188879.0|22175744.0|22203844.0|22237766.0|22140968.0|22232604.0|22203285.0|22199456.0|22164183.0|22200255.0|22175008.0|22218837.0|22203052.0|22221770.0|22199673.933333334|504932121.02988505|(22191283.238029078, 22208064.62863759)
